LOC_ID,NAME,ADDRESS,ADDRESS2,MUNI_NAME,PROVINCE,POSTAL_CODE,NOTES,STATUS,PHONE,WEBSITE,REC_ID,PROPERTY_TYPE,LOC_TYPE,FOM_NAME,FOM_TYPE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,LOC_CODE,COUNTRY,LOC_ADD_ID,LAT,LONG
RLC10038,Langley Memorial Hospital,22051 Fraser Highway,,Township of Langley,BC,V3A 4H4,,Current,604-514-6000,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/C/3/general-medicine---langley-memorial-hospital,5229,,Hospital,Langley Memorial Hospital,Affiliated Regional Centre,,,RACHELW,20240927164521,LMH,Canada,ARLC10038,1247689.5576,459066.9676
RLC10047,Peace Arch Hospital,15521 Russell Avenue,,White Rock,BC,V4B 2R4,,Current,604-531-5512,https://www.fraserhealth.ca/Service-Directory/Locations/White-Rock/peace-arch-hospital,5234,,Hospital,Peace Arch Hospital,Affiliated Regional Centre,,,RACHELW,20240927164521,PAH,Canada,ARLC10047,1234785.5932,451303.6933
RLC10346,The Workers' Compensation Board - Newfoundland,"148 Forest Road, Unit 146, PO Box 9000",,St. John’s,NL,A1A 3B8,WCB,Current,,,5361,<Null>,Administrative,,,RACHELW,20190920221249,RACHELW,20240927163546,WCBNL,Canada,ARLC10346,5597027.4788,2903287.8828
RLC10015,East Kootenay Regional Hospital,13 24th Avenue North,,Cranbrook,BC,V1C 3H9,,Current,250-426-5281,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=East%20Kootenay%20Regional%20Hospital&svc=&ploc,5209,,Hospital,Cranbrook,Community Educational Facility,,,RACHELW,20240927164521,EKRH,Canada,ARLC10015,1740105.3278,553244.8408
RLC10000,100 Mile House District General Hospital,555 Cedar Avenue,,100 Mile House,BC,V0K 2E0,,Current,250-395-7600,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=100%20Mile%20District%20General%20Hospital&svc=Psychiatry&ploc=N/A,5200,,Hospital,100 Mile House,Community Educational Facility,,,RACHELW,20240927164521,100MH,Canada,ARLC10000,1325157.7889,747044.6025
RLC10101,BC Cancer Research Institute,675 West 10th Avenue,,Vancouver,BC,V5Z 1L3,,Current,604-675-8000,http://www.bccrc.ca/,5030,,Health,,HR,RACHELW,20200424212339,RACHELW,20241023173645,BCCRI,Canada,ARLC10101,1209808.8732,476070.0928
RLC10417,BC Cancer Research Centre,675 West 10th Avenue,,Vancouver,BC,V5Z 1L3,,Retired,604-675-8000,http://www.bccrc.ca/,5393,,Health,,HR,,,RACHELW,20241023173645,BCCRC,Canada,ARLC10417,1209809.7222,476073.3503
RLC10059,University of Northern British Columbia,3333 University Way,,Prince George,BC,V2N 4Z9,,Current,250-960-5555,https://www.unbc.ca/,5094,,Academic,University of Northern British Columbia,HR,,,RACHELW,20240903181356,UNBC,Canada,ARLC10059,1208871.3073,992104.365
RLC10023,Fraser Lake Community Health Centre,130 Chowsunket Street,,Fraser Lake,BC,V0J 1S0,,Current,250-699-7742,https://www.northernhealth.ca/locations/nh-primary-care-medical-clinics/fraser-lake-community-health-centre,5215,,Health,Fraser Lake,Community Educational Facility,,,RACHELW,20240927164521,FLCHC,Canada,ARLC10023,1075091.3327,1006185.7323
RLC10119,Haida Gwaii Hospital and Health Centre,3209 Oceanview Drive,,Daajing Giids,BC,V0T 1S1,,Current,250-559-4900,https://www.northernhealth.ca/locations/hospitals/haida-gwaii-hospital-and-health-centre-xaayda-gwaay-ngaaysdll-naay,5264,,Hospital,Queen Charlotte City,Community Educational Facility,,,RACHELW,20240927164521,HGHHC,Canada,ARLC10119,596113.4534,933806.0671
RLC10170,Forensic Psychiatric Hospital,70 Colony Farm Road,,Coquitlam,BC,V3C 5X9,,Current,,,5306,,Hospital,,HR,,,RACHELW,20240927171717,FORPH,Canada,ARLC10170,1232418.6047,473307.9453
RLC10447,Landmark 4,"1628 Dickson Avenue, Unit 600",,Kelowna,BC,V1Y 0B5,,Current,,,4046,,Academic,,HR,RACHELW,20220920171315,RACHELW,20240927171717,LM4,Canada,ARLC10447,1468938.6034,562235.2422
RLC10067,Sunny Hill Health Centre for Children,4500 Oak Street,Entrance 5,Vancouver,BC,V6H 3N1,,Current,604-453-8300,http://www.bcchildrens.ca/our-services/sunny-hill-health-centre,5415,,Health,,HR,,,RACHELW,20240927185802,SHHCC,Canada,ARLC10067,1209689.2268,474075.2868
RLC10002,Armstrong Physiotherapy Clinic,2775 Wood Avenue,,Armstrong,BC,V0E 1B0,,Current,,,5201,,Health,Armstrong,Community Educational Facility,,,RACHELW,20240927171717,ARMPC,Canada,ARLC10002,1482282.7697,626851.6579
RLC10439,ChangePain Clinic,3605 Gilmore Way,,Burnaby,BC,V5G 4X5,,Current,,,5411,,Health,,HR,RACHELW,20220408214914,RACHELW,20240927171717,CHPCL,Canada,ARLC10439,1210124.4324,472912.1303
RLC10207,Electra Health,970 Burrard Street,Mezzanine 1,Vancouver,BC,V6Z 2R4,,Current,,,5334,,Health,,HR,,,RACHELW,20240927171717,TELEC,Canada,ARLC10207,1209290.4537,478118.7106
