LONG,LAT,ADD_UID,UNIT_DESIGNATOR,UNIT_NUMBER_PREFIX,UNIT_NUMBER,UNIT_NUMBER_SUFFIX,SITE_NAME,SUPER_FULL_SITE_DESCRIPTOR,CIVIC_NUMBER,CIVIC_NUMBER_SUFFIX,STREET_NAME,STREET_TYPE,IS_STREET_TYPE_PREFIX,STREET_DIRECTION,IS_STREET_DIRECTION_PREFIX,LOCALITY,LOCALITY_DESCRIPTOR,POSTAL_CODE,PROVINCE_CODE,STATUS,IS_OFFICIAL_ADDRESS,IS_PRIMARY,BLDG_UID,ADDRESS_DESCRIPTOR,SITE_POINT_DESCRIPTOR,FOOTPRINT_DESCRIPTOR,FOOTPRINT_ID,IS_NON_CIVIC_ADDRESS,NARRITIVE_LOCATION,IS_MAILING_ADDRESS,MAIL_PROVIDER,IS_ANNUNCIATOR,NUM_OF_UNITS,NEIGHBOURHOOD,ADDRESS_NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,PARENT_UID,FULL_ADDRESS
327961,5534731,OAD10001,,,,,Arts and Sciences Centre,,3187,,University,Way,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10010,CampusBuilding,FrontDoor,Building,OBL10010,0,,1,,,,,,,,RACHELW,20190917173646,,3187 University Way
328003,5534645,OAD10002,,,,,Arts Building,,1147,,Research,Road,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10012,CampusBuilding,FrontDoor,Building,OBL10012,0,,1,,,,,,,,RACHELW,20190917173646,,1147 Research Road
327886,5534866,OAD10003,,,,,Similkameen Residence,,1263,,Discovery,Avenue,0,,0,Kelowna,Municipality,V1V 1V8,BC,Current,1,1,OBL10005,CampusBuilding,FrontDoor,Building,OBL10005,0,,1,,,,,,,,RACHELW,20190917173646,,1263 Discovery Avenue
328123,5534774,OAD10005,,,,,The Commons,,3297,,University,Way,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10007,CampusBuilding,FrontDoor,Building,OBL10007,0,,1,,,,,,,,RACHELW,20190917173646,,3297 University Way
328052,5534700,OAD10016,,,,,Science Building,,1177,,Research,Road,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10029,CampusBuilding,FrontDoor,Building,OBL10029,0,,1,,,,,,,,RACHELW,20190917173646,,1177 Research Road
327794,5534871,OAD10017,,,,,Upper Campus Health Building,,1238,,Discovery,Avenue,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10044,CampusBuilding,FrontDoor,Building,OBL10044,0,,1,,,,,,,,RACHELW,20190917173646,,1238 Discovery Avenue
328019,5534897,OAD10043,,,,,Kalamalka Residence,,1240,,International,Mews,0,,0,Kelowna,Municipality,V1V 1V8,BC,Current,1,1,OBL10024,CampusBuilding,FrontDoor,Building,OBL10024,0,,1,,,,,,,,RACHELW,20191011200642,,1240 International Mews
328177,5534729,OAD10057,,,,,Engineering Design Labs,,3317,,University,Way,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10047,CampusBuilding,FrontDoor,Building,OBL10047,0,,1,,,,,,NIKT,20200713205641,RACHELW,20200904171646,,3317 University Way
328243,5534334,OAD10037,,,,,Quonset - Office,,1033,,Alumni,Avenue,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10003,CampusBuilding,FrontDoor,Building,OBL10003,0,,1,,,,,,GISSTUD2,20190809194758,RACHELW,20200904175121,,1033 Alumni Avenue
328119,5534692,OAD10062,,,,,Library Building,,3287,,University,Way,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10040,CampusBuilding,FrontDoor,Building,OBL10040,0,,1,,,,,,RACHELW,20190918192041,RACHELW,20200911170511,,3287 University Way
328141,5534696,OAD10064,,,,,Central Receiving and Mail Services,Library Building,1201,,Alumni,Avenue,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,0,OBL10040,Occupant,FrontDoor,IndoorArea,OBL10040,0,,1,,,,,,NIKT,20210223213715,RACHELW,20210406185936,OAD10062,1201 Alumni Avenue
328157,5534506,OAD10065,,,,,ICI Building,,1135,,Alumni,Avenue,0,,0,Kelowna,Municipality,V1V 1V7,BC,Pending,1,1,OBL10055,CampusBuilding,FrontDoor,Building,OBL10055,0,,1,,,,,,NIKT,20210429232750,NIKT,20210617220148,,1135 Alumni Avenue
327825,5534517,OAD10013,,,,,Reichwald Health Sciences Centre,,1088,,Discovery,Avenue,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10018,CampusBuilding,FrontDoor,Building,OBL10018,0,,1,,,,,,,,RACHELW,20190917173646,,1088 Discovery Avenue
328198,5534787,OAD10063,Building,,1,,Project Management Office,,3272,,University,Way,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10054,CampusBuilding,FrontDoor,Building,OBL10054,0,,1,,,,,,RACHELW,20200911170200,RACHELW,20200930192657,OAD10046,"3272 University Way, Building 1"
328050,5534966,OAD10039,,,,,Nicola Residence - South Entrance,Nicola Residence,1290,,International,Mews,0,,0,Kelowna,Municipality,V1V 1V8,BC,Current,1,0,OBL10021,CampusBuilding,Rooftop,IndoorArea,,0,,1,,,,,,,,RACHELW,20190917174455,OAD10040,1290 International Mews
328282,5534377,OAD10050,Building,,3,,Quonset - Hazardous Waste Depot,Quonset,1035,,Alumni,Avenue,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10019,CampusBuilding,FrontDoor,Building,OBL10019,0,,0,,,,,,GISSTUD2,20190809193911,RACHELW,20211021163112,OAD10051,"1035 Alumni Avenue, Building 3"
328069,5535011,OAD10040,,,,,Nicola Residence,,1270,,International,Mews,0,,0,Kelowna,Municipality,V1V 1V8,BC,Current,1,1,OBL10021,CampusBuilding,FrontDoor,Building,OBL10021,0,,1,,,,,,,,RACHELW,20190917174320,,1270 International Mews
328356,5534432,OAD10049,,,,,University House,,1060,,Diversity,Place,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10014,CampusBuilding,FrontDoor,Building,OBL10014,0,,1,,,,,,,,RACHELW,20191011200642,,1060 Diversity Place
327900,5534929,OAD10041,,,,,Monashee Residence,,1267,,Discovery,Avenue,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10022,CampusBuilding,FrontDoor,Building,OBL10022,0,,1,,,,,,,,RACHELW,20190917174303,,1267 Discovery Avenue
327913,5535014,OAD10034,,,,,Cassiar Residence,,1337,,Discovery,Avenue,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10026,CampusBuilding,FrontDoor,Building,OBL10026,0,,1,,,,,,,,RACHELW,20190917173646,,1337 Discovery Avenue
327907,5534656,OAD10035,,,,,Creative and Critical Studies Building,,1148,,Research,Road,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10025,CampusBuilding,FrontDoor,Building,OBL10025,0,,1,,,,,,,,RACHELW,20190917173646,,1148 Research Road
327788,5534938,OAD10036,,,,,Daycare Building,,1262,,Discovery,Avenue,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10037,CampusBuilding,FrontDoor,Building,OBL10037,0,,1,,,,,,,,RACHELW,20190917173646,,1262 Discovery Avenue
328026,5534769,OAD10033,,,,,Charles E. Fipke Centre for Innovative Research,,3247,,University,Way,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10023,CampusBuilding,FrontDoor,Building,OBL10023,0,,1,,,,,,,,RACHELW,20190917173646,,3247 University Way
328253,5534359,OAD10051,,,,,Quonset,,1035,,Alumni,Avenue,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,0,OBL10001,Complex,FrontDoor,Complex,,0,,1,,,,,,GISSTUD2,20190809222932,RACHELW,20190917184013,,1035 Alumni Avenue
327977,5535044,OAD10014,,,,,Valhalla Residence,,1311,,Discovery,Avenue,0,,0,Kelowna,Municipality,V1V 1V8,BC,Current,1,1,OBL10011,CampusBuilding,FrontDoor,Building,OBL10011,0,,1,,,,,,,,RACHELW,20190917175104,,1311 Discovery Avenue
327969,5534531,OAD10019,,,,,Gymnasium,,3211,,Athletics,Court,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10038,CampusBuilding,FrontDoor,Building,OBL10038,0,,1,,,,,,GISSTUD2,20190809222623,RACHELW,20190917173646,,3211 Athletics Court
327695,5534902,OAD10058,,,,,Plant Growth Facility,,1250,,Discovery,Avenue,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10048,CampusBuilding,FrontDoor,Building,OBL10048,0,,1,,,,,,NIKT,20200713192016,RACHELW,20220215215715,,1250 Discovery Avenue
328098,5535079,OAD10053,,,,,Skeena Residence,,1320,,International,Mews,0,,0,Kelowna,Municipality,V1V 1V8,BC,Current,1,1,OBL10046,CampusBuilding,FrontDoor,Building,OBL10046,0,,1,,,,,,RACHELW,20190916205800,RACHELW,20231010163552,,1320 International Mews
327980,5534834,OAD10032,,,,,Cascades Residence - A,,3212,,Lower Residence,Lane,0,,0,Kelowna,Municipality,V1V 1V8,BC,Current,1,1,OBL10034,CampusBuilding,FrontDoor,Building,OBL10034,0,,1,,,,,,,,RACHELW,20231006232906,,3212 Lower Residence Lane
