BLDG_UID,NAME,BLDG_CODE,CONSTR_STATUS,ADD_UID,LOCALITY,POSTAL_CODE,PROVINCE_CODE,IS_PRIMARY,FULL_ADDRESS,ACCESSIBLE,POWER_DOOR,FEATURE_UID,ALIAS_2,ALIAS_3,ALIAS_4,ALIAS_5,LONG,LAT
OBL10032,Cascades Residence - B,CASB,Complete,OAD10027,Kelowna,V1V 1V8,BC,1,3200 Lower Residence Lane,,,,,,,,327943,5534803
OBL10033,Cascades Residence - G,CASG,Complete,OAD10025,Kelowna,V1V 1V8,BC,1,3210 Lower Residence Lane,,,,,,,,327947,5534850
OBL10034,Cascades Residence - A,CASA,Complete,OAD10032,Kelowna,V1V 1V8,BC,1,3212 Lower Residence Lane,,,,,,,,327969,5534825
OBL10005,Similkameen Residence,SIM,Complete,OAD10003,Kelowna,V1V 1V8,BC,1,1263 Discovery Avenue,,,,,,,,327888,5534876
OBL10009,Cascades Residence - D,CASD,Complete,OAD10030,Kelowna,V1V 1V8,BC,1,3176 Lower Residence Lane,,,,,,,,327889,5534760
OBL10011,Valhalla Residence,VAL,Complete,OAD10014,Kelowna,V1V 1V8,BC,1,1311 Discovery Avenue,,,,,,,,327982,5535043
OBL10012,Arts Building,ART,Complete,OAD10002,Kelowna,V1V 1V7,BC,1,1147 Research Road,,,,,,,,327997,5534646
OBL10029,Science Building,SCI,Complete,OAD10016,Kelowna,V1V 1V7,BC,1,1177 Research Road,,,,,,,,328036,5534734
OBL10030,Campus Administration Building,ADM,Complete,OAD10031,Kelowna,V1V 1V7,BC,1,1138 Alumni Avenue,,,,,,,,328094,5534618
OBL10031,Cascades Residence - F,CASF,Complete,OAD10029,Kelowna,V1V 1V8,BC,1,3192 Lower Residence Lane,,,,,,,,327915,5534821
OBL10024,Kalamalka Residence,KAL,Complete,OAD10043,Kelowna,V1V 1V8,BC,1,1240 International Mews,,,,,,,,328014,5534897
OBL10025,Creative and Critical Studies Building,CCS,Complete,OAD10035,Kelowna,V1V 1V7,BC,1,1148 Research Road,,,,,,,,327905,5534645
OBL10035,Cascades Residence - C,CASC,Complete,OAD10024,Kelowna,V1V 1V8,BC,1,3188 Lower Residence Lane,,,,,,,,327918,5534779
OBL10036,Cascades Residence - E,CASE,Complete,OAD10026,Kelowna,V1V 1V8,BC,1,3174 Lower Residence Lane,,,,,,,,327880,5534797
OBL10038,Gymnasium,GYM,Complete,OAD10019,Kelowna,V1V 1V7,BC,1,3211 Athletics Court,,,,,,,,327967,5534516
OBL10040,Library Building,LIB,Complete,OAD10047,Kelowna,V1V 1V7,BC,1,3287 University Way,,,,,,,,328121,5534713
OBL10002,Geo Exchange Control Building,GEO,Complete,OAD10046,Kelowna,V1V 1V7,BC,1,3348 University Way,,,,,,,,328250,5534829
