TREEID,TAXA,COMMON_NAME,TAG,TAGID,LIVE_TREE,DBH,THEIGHT,HEIGHT_LIVETOP,HEIGHT_LIVEBASE,CROWNWIDTH1,CROWNWIDTH2,CANOPYMISSING,CROWN_LIGHTEXP,TEAM,TREE_TYPE,DATE_MEASURE,TREE_ID_YR,NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,LAT,LONG,TREE_STATUS,NATIVE_TREE,DBH_HEIGHT,DBHX
5161,Malus x domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175828,PLAN,20190614175828,49.259452,-123.248811,,,,
5064,dead,,,,,,,,,,,,,,,,,,PLAN,20190614175830,PLAN,20190614175830,49.267579,-123.253855,,,,
5068,Acer glabrum,,,,,,,,,,,,,,,,,,PLAN,20190614175830,PLAN,20190614175830,49.267649,-123.253848,,,,
5268,Malus x domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175836,PLAN,20190614175836,49.259377,-123.248618,,,,
5270,Malus x domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175836,PLAN,20190614175836,49.259405,-123.248639,,,,
8228,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224230,PLAN,20200116192732,49.267993,-123.247637,,,,
8229,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224231,PLAN,20200116192732,49.26803,-123.247654,,,,
8230,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224231,PLAN,20200116192732,49.268044,-123.247703,,,,
8231,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224232,PLAN,20200116192732,49.268077,-123.247725,,,,
8232,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224233,PLAN,20200116192732,49.268138,-123.247782,,,,
8234,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224235,PLAN,20200116192733,49.268234,-123.247845,,,,
8235,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224235,PLAN,20200116192733,49.268253,-123.247832,,,,
9446,,,,,,,,,,,,,,,,,,,GISSTUD2,20200221171953,GISSTUD2,20200221172112,49.263016,-123.236876,,,,
2102,Fraxinus angustifolia 'Raywood',,,,,,,,,,,,,,,,,,PLAN,20190614175908,PLAN,20190614175908,49.26908,-123.255493,,,,
5071,Acer glabrum,,,,,,,,,,,,,,,,,,PLAN,20190614175830,PLAN,20190620215216,49.267617,-123.253773,,,,
4213,Malus x domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20190620215251,49.263887,-123.255659,,,,
4235,Amelanchier grandiflora,,N,,Live,,,,,,,15,5,4,,,,,PLAN,20190614175931,PLAN,20190614175931,49.265807,-123.254945,,,,
8236,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224236,PLAN,20200116192733,49.268265,-123.247883,,,,
8237,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224237,PLAN,20200116192733,49.268312,-123.247904,,,,
8238,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224237,PLAN,20200116192733,49.268353,-123.24795,,,,
8239,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224238,PLAN,20200116192733,49.268401,-123.248021,,,,
8240,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224238,PLAN,20200116192733,49.268431,-123.248038,,,,
8242,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224240,PLAN,20200116192733,49.268601,-123.248183,,,,
8243,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224245,PLAN,20200116192733,49.268652,-123.248362,,,,
7152,,,,,,,,,,,,,,,,,,,GISSTUD2,20200207220533,GISSTUD2,20200207220620,49.260088,-123.239767,,,,
3910,?,,,,,,,,,,,,,,,,,,PLAN,20190614175902,GISSTUD2,20200110221905,49.262349,-123.24928,,,,
8355,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224254,PLAN,20200116192734,49.268704,-123.247994,,,,
9194,,,,,,,,,,,,,,,,,,,GISSTUD2,20200207223631,GISSTUD2,20200207223707,49.261959,-123.240146,,,,
7539,,,,,,,,,,,,,,,,,,,GISSTUD2,20200207231931,GISSTUD2,20200207231955,49.260218,-123.237163,,,,
8224,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224228,PLAN,20200116192732,49.267819,-123.247264,,,,
8226,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224229,PLAN,20200116192732,49.267878,-123.247557,,,,
8227,,,,,,,,,,,,,,,,,,,GISSTUD1,20200106224230,PLAN,20200116192732,49.267929,-123.24759,,,,
5285,Prunus yedonensis 'Akebono',,,,,,,,,,,,,,,,,,PLAN,20190614175836,PLAN,20200914230229,49.259266,-123.248561,,,,
5286,Malus x domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175836,PLAN,20200914230903,49.259369,-123.248568,,,,
5293,Cornus 'Eddie's White Wonder',,,,,,,,,,,,,,,,,,PLAN,20190614175836,PLAN,20200914230622,49.259512,-123.248003,,,,
5297,Cornus 'Eddie's White Wonder',,,,,,,,,,,,,,,,,,PLAN,20190614175836,PLAN,20200914230234,49.259487,-123.248035,,,,
2633,Acer x freemanii 'Armstrong',,,,,,,,,,,,,,,,,,PLAN,20190614175849,PLAN,20200914225830,49.262871,-123.248186,,,,
2634,Acer x freemanii 'Armstrong',,,,,,,,,,,,,,,,,,PLAN,20190614175849,PLAN,20200914230352,49.263071,-123.248349,,,,
2635,Malus x domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175849,PLAN,20200914225906,49.259288,-123.24868,,,,
2637,Malus x domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175849,PLAN,20200914231010,49.259344,-123.248765,,,,
2638,Malus x domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175849,PLAN,20200914225827,49.25936,-123.248734,,,,
2639,Malus x domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175849,PLAN,20200914230450,49.259378,-123.248758,,,,
2640,Malus x domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175849,PLAN,20200914225758,49.259374,-123.248788,,,,
2960,Carpinus tchonoskii,,,,,,,,,,,,,,,,,,PLAN,20190614175902,PLAN,20200914225642,49.268254,-123.257515,,,,
5322,Cornus 'Eddie's White Wonder',,,,,,,,,,,,,,,,,,PLAN,20190614175837,PLAN,20200914225840,49.259757,-123.248105,,,,
5325,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175837,PLAN,20200914230028,49.259911,-123.247048,,,,
5326,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175837,PLAN,20200914225628,49.25992,-123.246905,,,,
5328,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175837,PLAN,20200914230951,49.260003,-123.247186,,,,
5330,Cornus 'Eddie's White Wonder',,,,,,,,,,,,,,,,,,PLAN,20190614175837,PLAN,20200914225721,49.25987,-123.248246,,,,
4528,Pyrus domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175837,PLAN,20200914225804,49.265953,-123.255884,,,,
2650,Acer x freemanii 'Armstrong',,,,,,,,,,,,,,,,,,PLAN,20190614175849,PLAN,20200914225821,49.262801,-123.248125,,,,
2651,Acer x freemanii 'Armstrong',,,,,,,,,,,,,,,,,,PLAN,20190614175849,PLAN,20200914231013,49.262934,-123.248235,,,,
2652,Acer x freemanii 'Armstrong',,,,,,,,,,,,,,,,,,PLAN,20190614175849,PLAN,20200914230110,49.263,-123.248285,,,,
2673,Malus x domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175849,PLAN,20200914230137,49.25941,-123.24878,,,,
6487,Cornus 'Eddie's White Wonder',,,,,,,,,,,,,,,,,,PLAN,20190614175850,PLAN,20200914225931,49.264005,-123.246903,,,,
6680,Prunus Sato zakura group,,,,,,,,,,,,,,,,,,PLAN,20190614175851,PLAN,20200914230925,49.2681,-123.257354,,,,
6681,Prunus Sato zakura group,,,,,,,,,,,,,,,,,,PLAN,20190614175851,PLAN,20200914230059,49.268114,-123.257425,,,,
6654,Thuja plicat,,,,,,,,,,,,,,,,,,PLAN,20190614175851,PLAN,20200914225716,49.26887,-123.258176,,,,
2159,Liriodendron tulilpifera,,,,,,,,,,,,,,,,,,PLAN,20190614175908,PLAN,20200914225641,49.259742,-123.251392,,,,
2160,Liriodendron tulilpifera,,,,,,,,,,,,,,,,,,PLAN,20190614175908,PLAN,20200914225728,49.259932,-123.250854,,,,
2161,Liriodendron tulilpifera,,,,,,,,,,,,,,,,,,PLAN,20190614175908,PLAN,20200914225626,49.259902,-123.250936,,,,
2162,Liriodendron tulilpifera,,,,,,,,,,,,,,,,,,PLAN,20190614175908,PLAN,20200914230508,49.259876,-123.251015,,,,
3535,Juglans ailanthifolia,,,,,,,,,,,,,,,,,,PLAN,20190614175907,PLAN,20200914225918,49.262614,-123.253295,,,,
3550,Thuja plicata 'Zebrina',,,,,,,,,,,,,,,,,,PLAN,20190614175907,PLAN,20200914230214,49.261055,-123.254326,,,,
3551,Thuja plicata 'Zebrina',,,,,,,,,,,,,,,,,,PLAN,20190614175907,PLAN,20200914230016,49.261025,-123.254306,,,,
2761,Acer platanoides 'Crimson King',,,,,,,,,,,,,,,,,,PLAN,20190614175851,PLAN,20200914230633,49.263418,-123.253429,,,,
2763,Acer platanoides 'Crimson King',,,,,,,,,,,,,,,,,,PLAN,20190614175851,PLAN,20200914225706,49.263483,-123.253484,,,,
2768,Ilex aquifolium 'Myrtifolia',,,,,,,,,,,,,,,,,,PLAN,20190614175851,PLAN,20200914230440,49.263749,-123.25373,,,,
2775,Prunus cerasifera 'Nigra',,,,,,,,,,,,,,,,,,PLAN,20190614175851,PLAN,20200914225719,49.263178,-123.254673,,,,
2777,Cornus 'Eddie's White Wonder',,,,,,,,,,,,,,,,,,PLAN,20190614175851,PLAN,20200914231029,49.263617,-123.254992,,,,
4243,Corylus Svetlana 'Contorta',,,,,,,,,,,,,,,,,,PLAN,20190614175907,PLAN,20200914230422,49.265504,-123.2545,,,,
6678,Thuja plicata 'Zebrina',,,,,,,,,,,,,,,,,,PLAN,20190614175856,PLAN,20200914230759,49.268553,-123.258174,,,,
6655,Chamaecyparis obtusa 'Nana',,,,,,,,,,,,,,,,,,PLAN,20190614175856,PLAN,20200914230308,49.268658,-123.258279,,,,
2165,Liriodendron tulilpifera,,,,,,,,,,,,,,,,,,PLAN,20190614175908,PLAN,20200914230801,49.259801,-123.251241,,,,
2167,Liriodendron tulilpifera,,,,,,,,,,,,,,,,,,PLAN,20190614175908,PLAN,20200914225806,49.259707,-123.251343,,,,
4234,Amelanchier grandiflora,,N,,Live,,,,,,,20,5,4,,,,,PLAN,20190614175920,PLAN,20200914225813,49.265774,-123.255027,,,,
6692,Magnolia,Magnolia,,,,,,,,,,,,,,,,,PLAN,20190614175852,PLAN,20200914225741,49.268106,-123.258075,,,,
6668,Magnolia,Magnolia,,,,,,,,,,,,,,,,,PLAN,20190614175852,PLAN,20200914230202,49.268183,-123.258121,,,,
4316,Eucryphia x nymanensis,,,,,,,,,,,,,,,,,,PLAN,20190614175908,PLAN,20200914230047,49.267704,-123.254334,,,,
2103,Fraxinus angustifolia 'Raywood',,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914230325,49.269186,-123.255581,,,,
2105,Fraxinus angustifolia 'Raywood',,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914225744,49.269214,-123.255117,,,,
4276,Prunus ceracifera "Nigeria",,N,,Live,,,,,,,,,4,,,,,PLAN,20190614175920,PLAN,20200914230935,49.265913,-123.254731,,,,
5377,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230637,49.259994,-123.247207,,,,
5379,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230348,49.259977,-123.247255,,,,
5380,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914231041,49.259968,-123.247287,,,,
5381,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230302,49.25996,-123.247308,,,,
5382,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230049,49.259953,-123.247329,,,,
5385,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914225759,49.260063,-123.246997,,,,
5386,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230326,49.260075,-123.246972,,,,
5387,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230520,49.260089,-123.246938,,,,
5388,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230320,49.260099,-123.246892,,,,
5389,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230857,49.260108,-123.246872,,,,
5390,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914225631,49.26012,-123.246839,,,,
5392,Hamamelis,Witch-Hazel,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914225642,49.260096,-123.246812,,,,
2147,Robinia pseudoacacia 'Frisia',,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914230303,49.260272,-123.249885,,,,
2149,Robinia pseudoacacia 'Frisia',,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914230213,49.260223,-123.250029,,,,
2150,Robinia pseudoacacia 'Frisia',,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914225730,49.260198,-123.250103,,,,
2151,Robinia pseudoacacia 'Frisia',,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914230531,49.26017,-123.250177,,,,
4204,Prunus serrulata 'Kanzan',,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914225936,49.264073,-123.255298,,,,
4207,Prunus serrulata 'Kanzan',,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914225851,49.263996,-123.255551,,,,
4208,Prunus serrulata 'Kanzan',,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914225703,49.263959,-123.255635,,,,
4209,Malus x domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914225634,49.263906,-123.255459,,,,
4210,Malus  x domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914231001,49.263884,-123.25544,,,,
4211,Malus x domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914230908,49.263855,-123.255369,,,,
4214,Malus x domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914225658,49.263794,-123.255515,,,,
