BLDG_UID,NAME,BLDG_CODE,CONSTR_STATUS,OCCU_DATE,BLDG_USAGE,BLDG_SEC_USAGE,JURISDICTION,NEIGHBOURHOOD,MANAGE_ORG,BLDG_STATE,GREEN_STATUS,CONSTR_TYPE,MAX_FLOORS,BLDG_HEIGHT,GBA,REC_IDS,HAS_SUBBLDGS,GEOM_SOURCE,NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,BLDG_FORM,BLDG_CONDITION,ACCESSIBILITY_RATING,BLDG_MAINTENANCE,BLDG_CLASS,PROPERTY_TYPE,LAT,LONG
VBL10404,Fraternity Village,FRAT,Complete,20040101,StudentHousing,,UBC,Academic,Non-UBC,Occupied,,Wood,5,,6503,921;922;924;925;926;927;928,1,,,,,TONYZ,20210520221449,AptLess5Storey,,,,B5,LeasedFromUBC,-123.238849,49.259653
VBL10405,Frederic Wood Theatre,FRWO,Complete,19630101,Services,Academic,UBC,Academic,UBC,Occupied,,Concrete,3,,2896,376;376-1,0,,,,,TONYZ,20210520221306,Unspecified,,,UBC,B1,,-123.256958,49.268053
VBL10407,AMS Nest,NEST,Complete,20150101,Services,,UBC,Academic,AMS,Occupied,LEED Platinum,Concrete,5,,20282,795,1,RW - PDF from Approved DP,,,,TONYZ,20210520221306,Unspecified,,,UBC,B1,,-123.249808,49.266562
VBL10409,Biological Sciences Building,BIOL,Complete,19570101,Academic,,UBC,Academic,UBC,Occupied,LEED Gold,Concrete,5,,19421,063;066;065;068;069;069-1;069-2,1,,,,,TONYZ,20210520221336,Unspecified,,,UBC,B2,,-123.251338,49.264469
VBL10411,Geography Building,GEOG,Complete,19250101,Academic,,UBC,Academic,UBC,Occupied,,Wood,3,,5497,401,0,,,,,TONYZ,20210520221336,Unspecified,,,UBC,B2,,-123.256128,49.265984
VBL10164,Granite Terrace,GRT1,Complete,20090902,Housing,Commercial,UNA,Wesbrook,UBCPT,Occupied,REAP Gold,Wood,5,18.6,10487,687,1,,new GBA taken from spreadsheet,GISSTUD2,20190717210931,TONYZ,20210520221449,Unspecified,,,,B5,,-123.236997,49.254831
VBL10300,Coast - Apartment East,COSE,Complete,20090603,Housing,,UNA,Chancellor,Private,Occupied,REAP Bronze,Concrete,8,,7188,832-2,0,,,GISSTUD2,20190514215824,TONYZ,20210520221449,Apt5StoreyPlus,,,,B5,,-123.252555,49.271045
VBL10303,Corus,CORS,Complete,20071129,Housing,,UNA,Chancellor,Private,Occupied,,Concrete,17,,14800,839,0,,new GBA taken from spreadsheet,,,TONYZ,20210520221449,Apt5StoreyPlus,,,,B5,,-123.249347,49.270653
VBL10304,West Mall Swing Space Building,SWNG,Complete,20060103,Academic,,UBC,Academic,UBC,Occupied,,Concrete,5,,5295,901,0,,,,,TONYZ,20210520221336,Unspecified,,,UBC,B2,,-123.254385,49.262795
VBL10305,Westpoint,WSPT,Complete,20081017,Housing,,UNA,Chancellor,Private,Occupied,,Concrete,7,,5145,841,0,,new GBA taken from spreadsheet,,,TONYZ,20210520221449,Apt5StoreyPlus,,,,B5,,-123.250471,49.270242
VBL10308,Acadia House,ACAH,Complete,19910101,StudentHousing,,UBC,Academic,SHHS,Occupied,,Wood,2,,2855,450-1;450-2;450-3,1,,,,,TONYZ,20210520221449,AptLess5Storey,,,UBC,B5,,-123.235908,49.26288
VBL10313,Panhellenic House,PANH,Complete,20040827,StudentHousing,,UBC,Academic,Non-UBC,Occupied,,Wood,5,,3149,918,0,,,,,TONYZ,20210520221449,AptLess5Storey,,,,B5,LeasedFromUBC,-123.239567,49.260104
VBL10314,Axis,AXIS,Complete,20130101,Housing,,UNA,Chancellor,Private,Occupied,REAP Gold,Concrete,16,,15941,819,0,RW - PDF from Approved DP,new GBA taken from spreadsheet,,,TONYZ,20210520221449,Apt5StoreyPlus,,,,B5,,-123.252233,49.270001
VBL10315,Morris and Helen Belkin Art Gallery,BART,Complete,19950101,Services,Academic,UBC,Academic,UBC,Occupied,,Steel,3,,1504,568,0,,,,,TONYZ,20210520221306,Unspecified,,,UBC,B1,,-123.25619,49.268169
VBL10321,Pine House,PINE,Complete,20180418,Housing,,UNA,Wesbrook,UBCPT,Occupied,LEED Gold,Wood,7,,7997,715,0,RW - PDF from Approved DP,,RACHELW,20180524222111,TONYZ,20210520221449,Apt5StoreyPlus,,,,B5,,-123.234274,49.251443
VBL10322,Cypress House,CYPR,Complete,20180418,Housing,,UNA,Wesbrook,UBCPT,Occupied,LEED Gold,Wood,7,,7319,714,0,RW - PDF from Approved DP,,RACHELW,20180528180304,TONYZ,20210520221449,Apt5StoreyPlus,,,,B5,,-123.23469,49.25194
VBL10372,Child Care Services - Saw-Whet,MCC1,Complete,20191129,Services,,UBC,Academic,SHHS,Occupied,,OtherMixed,1,,312,211,0,RW - PDF from Approved DP,,GISSTUD2,20190524184347,TONYZ,20210527173012,Unspecified,,,UBC,B2,,-123.236502,49.260393
VBL10373,Child Care Services - Barish,MCC2,Complete,20191129,Services,,UBC,Academic,SHHS,Occupied,,OtherMixed,1,,312,209,0,RW - PDF from Approved DP,,GISSTUD2,20190524184520,TONYZ,20210527173007,Unspecified,,,UBC,B2,,-123.235511,49.260469
VBL10379,Nobel House,NOBL,Complete,20141028,Housing,,UNA,Wesbrook,UBCPT,Occupied,REAP Gold,Wood,8,,9965,717,0,RW - PDF from Approved DP,new GBA taken from spreadsheet,,,TONYZ,20210520221449,Apt5StoreyPlus,,,,B5,,-123.233205,49.25084
VBL10403,MBA House,MBAH,Complete,20090713,StudentHousing,Commercial,UBC,Wesbrook,SHHS,Occupied,REAP Silver,Wood,4,,3575,694,0,,new GBA taken from spreadsheet,,,TONYZ,20210520221449,AptLess5Storey,,,UBC,B5,,-123.235169,49.253876
VBL10437,Acadia Park Residence - Fairview Place,APR3,Complete,19890101,StudentHousing,,UBC,Academic,SHHS,Occupied,,Wood,3,,1222,010-06,0,,GBA from OSIS,RACHELW,20200716183842,TONYZ,20210520221449,Duplex/Townhouse,,,UBC,B5,,-123.236838,49.263269
VBL10438,Acadia Park Residence - Yalta Place,APR6,Complete,19880101,StudentHousing,,UBC,Academic,SHHS,Occupied,,Wood,3,,1516,009-05;009-06;009-07;009-09;009-10;009-12;009-13,0,,GBA from OSIS,RACHELW,20200716183842,TONYZ,20210520221449,Duplex/Townhouse,,,UBC,B5,,-123.238234,49.26414
VBL10440,Acadia Park Residence - Pearkes Lane,APR4,Complete,19880101,StudentHousing,,UBC,Academic,SHHS,Occupied,,Wood,3,,1451,009-11;009-18;009-19,0,,GBA from OSIS,RACHELW,20200716183842,TONYZ,20210520221449,Duplex/Townhouse,,,UBC,B5,,-123.239427,49.264274
VBL10043,Gerald McGavin Building,GMCG,Complete,19950101,Administrative,,Non-UBC,Academic,UBCPT,Occupied,,Concrete,3,,3231,569,0,,,,,TONYZ,20210520221336,Unspecified,,,,B2,LeasedFromUBC,-123.246762,49.261791
VBL10069,Bioenergy Research and Demonstration Facility,BRDF,Complete,20120614,Operations,,UBC,Academic,UBC,Occupied,LEED Gold,Wood,2,,1950,019,0,Wayf/AH - PDF from Approved DP,,,,TONYZ,20210520221336,Unspecified,,,UBC,B2,,-123.254521,49.260296
VBL10165,The Mews,MEWS,Complete,20110131,Housing,Commercial,UNA,Wesbrook,UBCPT,Occupied,REAP Gold,Concrete,6,,7767,689,0,Wayf/AH - PDF from Approved DP,new GBA taken from spreadsheet,,,TONYZ,20210520221449,Apt5StoreyPlus,,,,B5,,-123.235711,49.254541
VBL10167,Yu,YU,Complete,20120921,Housing,,UNA,Wesbrook,Private,Occupied,REAP Gold,OtherMixed,7,,16095,695,0,RW - PDF from Approved DP,new GBA taken from spreadsheet,,,TONYZ,20210520221449,Apt5StoreyPlus,,,,B5,,-123.23605,49.25356
VBL10160,Legacy,LGCY,Complete,20061023,Housing,,UNA,Hawthorn,Private,Occupied,REAP Silver,Wood,6,14,7718,630,0,,new GBA taken from spreadsheet,,,TONYZ,20210520221449,AptLess5Storey,,,,B5,,-123.248008,49.257463
VBL10169,Pacific,PACC,Complete,20091113,Housing,,UNA,Wesbrook,Private,Occupied,REAP Gold,Wood,6,,7802,699,0,699-06-003 PACIFIC LOT 3 : SITE PLAN ,new GBA taken from spreadsheet,,,TONYZ,20210527185605,AptLess5Storey,,,,B5,,-123.234987,49.253278
