POI_ID,ADD_ID,PLACENAME,PLACENAME2,ABBREVIATEDPLACENAME,BL_NAME,BL_CLASS,SERVICE_TYPE,PHOTOURL,URL,CONTACT,HOURS,LICENSE,MANAGE,STATUS,LEED,HTML,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,BCN_CODE,BCN_LANDUSE,BCN_NOEMP,BCN_CLASS,LAT,LONG
POI-104,,University Endowment Lands,,UEL,,UEL,other,,,,,N,UEL,UEL,,,,,GISSTUD1,20180116204649,{4B7C5831-5AE2-444C-AD84-C4464F4EBD0E},,,,,-123.245229,49.270269
POI-143,,Wyman Plaza,,,,garden,plaza,,,,,N,UBC,Current,Civic,,,,GISSTUD1,20180116204650,{774893D5-B77F-4A92-B845-016107AA90EE},,,,,-123.255102,49.267623
POI-146,,Martha Piper Plaza,,,,garden,plaza,,,,,N,UBC,Current,Civic,,,,GISSTUD1,20180116204650,{93C0C35D-B899-4615-872C-D38E10FB2DC0},,,,,-123.252795,49.264795
POI-108,,Pacific Spirit Regional Park,,PSRP,,PSRP,park,,,,,N,Metro,UEL,,,,,GISSTUD1,20180116204650,{DB93B361-B233-4B2B-9E1F-87EDF321D2ED},,,,,-123.225461,49.251777
POI-103,,Wreck Beach,,,,beach,park,,,,,N,Metro,UEL,,,,,GISSTUD1,20180117193146,{F348E8EA-0EC4-45ED-AC17-98FD8E712C1D},DE5,Sports,,Urban Facilities,-123.261893,49.262279
POI-106,,Pacific Spirit Regional Park,,PSRP,,PSRP,park,,,,,N,Metro,UEL,,,,,GISSTUD1,20180117193145,{70F5A091-FEA7-4189-B67A-3D67DFB328AB},DE5,Sports,,Urban Facilities,-123.262499,49.265351
POI-107,,Tower Beach,,,,beach,park,,,,,N,Metro,UEL,,,,,GISSTUD1,20180117193145,{87527929-2C2B-4AAD-8CA7-BABEF413119F},DE5,Sports,,Urban Facilities,-123.256438,49.27403
POI-336,VAD10111,Caffe Perugia,,,Life Sciences Centre,,cafe,,http://www.food.ubc.ca/place/caffe-perugia,Phone: (604) 827-3291,M-Thur: 7:30am - 5pm; Fri: 7:30am - 4pm; Sat/Sun: Closed,N,SHHS,Current,Services,,,,PLAN,20200708210718,{45F8AEF7-0D53-46CD-8DD8-A872BAAF2706},CO4,Commercial,5-10,Legal Entities,-123.244823,49.262252
POI-250,VAD10230,Agora Cafe,,,HR MacMillan Building,,cafe,,http://blogs.ubc.ca/agora/,Phone: (604) 822-4651; Email: agora.eats@gmail.com,M-F (Sept-Apr): 9:30am - 3pm,N,UBC,Current,Services,,,,PLAN,20200708210718,{09CF8C8F-6A4C-46F8-88B2-CB1D7BAB3A4E},CO4,Commercial,5-10,Legal Entities,-123.251127,49.260915
POI-274,VAD10420,Bodyworks Fitness Centre,,,Robert F. Osborne Centre - Unit 1,,athletics,,https://kin.educ.ubc.ca/outreach/body-works/,Phone: (604) 827-5059; Email: kin.outreach@ubc.ca,M-F: 8:45am - 4:15pm,N,KIN,Current,Services,,,,PLAN,20200708210719,{F67DDA8D-7994-488A-87D8-1042CF0AE03A},CO16,Commercial,5-10,Legal Entities,-123.243701,49.26028
POI-4,VAD10220,JJ Bean,JJ Bean Coffee,,Central,,cafe,,https://jjbeancoffee.com/our-locations/ubc/,Phone: (604) 559-9252; Email:  info@jjbeancoffee.com,,UC,Non-UBC,UC,Services,,,,PLAN,20200708210719,{C749D6A9-B7AC-42CF-9C58-16ED42FDC561},CO4,Commercial,10-15,Legal Entities,-123.24724,49.266243
POI-5,VAD10094,Jamjar,Jamjar Canteen,,Central,,cafe,,http://www.jam-jar.ca/,Phone: (604) 620-5320,Daily: 11:30am - 10pm; Closed Public Holidays,UC,Non-UBC,UC,Services,,,,PLAN,20200708210719,{47EE5981-2D2D-41F1-BD60-4CF5B4025C81},CO2,Commercial,10-15,Legal Entities,-123.247432,49.266218
POI-7,VAD10092,Tacomio,,,Central,,cafe,,http://www.tacomio.ca/,Needs Updating,,UC,Non-UBC,UC,Services,,,,PLAN,20200708210719,{8AA181CB-4837-42D9-B541-4AF638E72B91},CO2,Commercial,10-15,Legal Entities,-123.247137,49.266256
POI-8,VAD11103,Corner Store,,,UBC Bookstore,,minimart,,http://shop.bookstore.ubc.ca/c-471-corner-store.aspx,Phone: (604) 822-2665,Mon/Tues/Thurs/Fri: 8:30am - 6pm; Wed: 8:30am - 7pm; Sat: 11am - 5pm; Sun: Close,N,SHHS,Current,Retail,,,,PLAN,20200708210719,{30FE8410-E335-4F5C-81FF-6B3096097F7B},CO10,Commercial,0-5,Legal Entities,-123.250785,49.265213
POI-9,VAD10281,Starbucks,,,Fred Kaiser,,cafe,,http://www.food.ubc.ca/place/starbucks/,Phone: (604) 827-5779,M-F: 7am - 3pm,N,SHHS,Current,Services,,,,PLAN,20200708210719,{1CEC9032-78EA-41B4-BBDB-DCB93C180CC5},CO4,Commercial,10-15,Legal Entities,-123.250241,49.262346
POI-12,VAD11103,Starbucks,Starbucks Bookstore,,UBC Bookstore,,cafe,,http://www.food.ubc.ca/place/starbucks/,Phone: (604) 822-0552,M-F: 6:30am - 7:30am; Sat: 10:00am - 5pm; Sun: Closed,N,SHHS,Current,Services,,,,PLAN,20200708210719,{EC2F8E91-E17E-4AA7-A6AC-F9450786C159},CO4,Commercial,10-15,Legal Entities,-123.250549,49.265297
POI-49,VAD11083,Koerner's Pub,,,Thea Koerner House,,restaurant,,http://koerners.ca/,Phone: (604) 827-1443; Email: info@koerners.ca,M-W: 11:30am - 10pm; Thur-Fri: 11:30am - 1am; Sat/Sun: Closed,Y,Non-UBC,Current,Services,,,,PLAN,20200708210719,{5D1336D9-17DA-4687-9317-3CF51760BEFF},CO6,Commercial,15-20,Legal Entities,-123.258074,49.268314
