Fieldname,Description,FieldValues,Type
ACCESSIBLE,Is the main entrance to this building accessible?,"1:Yes,0:No",integer
ALIAS_2,Alias for the building name.,,char(200)
BLDG_CODE,"2-5 character short form of building name, either the acronym of building name or derived from building name. Building Code for academic buildings may be used as classroom codes where applicable.",,char(10)
CONSTR_STATUS,Status of Building indicated by the type of Permit received.,"Complete,Complete,UnderConstruction,UnderConstruction",char(20)
LOCALITY,The name of the locality assigned to a given site by an address authority. ,,char(100)
MAIN_ADDRESS,The street address of the main building address (if it has one).,,char(300)
NAME,Official name of the building.,,char(100)
POSTAL_CODE,Postal Code assigned by Canada Post for the purposes to deliver mail. Required once STATUS = Complete (Canada Post assigns postal code),,char(7)
POWER_DOOR,Does the main entrance to this building have a powered door?,"1:Yes,0:No",integer
PROPERTY_TYPE,"A description of the type of ownership or contractual relationship of UBC’s with respect to buildings, lands, or sites (Real Property).","Fee Simple,LeasedToUBC,LeasedFromUBC,LicensedToUBC,LicensedFromUBC,Asset,Other",char(30)
PROVINCE_CODE,The ISO 3166-2 Sub-Country Code.,,char(2)
